iter	Logloss
0	0.611352959
1	0.5479563672
2	0.4987322461
3	0.4594126562
4	0.4292645215
5	0.4056527539
6	0.3881000098
7	0.3740719531
8	0.3624088086
9	0.3534354785
10	0.3459178906
11	0.3397560742
12	0.3349450781
13	0.3310875879
14	0.3278811328
15	0.3251088428
16	0.3228470068
17	0.3209388672
18	0.3193465234
19	0.3179667969
20	0.3166968799
21	0.3156392627
22	0.3146075488
23	0.3137275537
24	0.3129716406
25	0.312190708
26	0.3115565039
27	0.3109202002
28	0.3103191309
29	0.3097232129
30	0.3090857471
31	0.3085150781
32	0.308017207
33	0.3075144531
34	0.3069705957
35	0.3065220215
36	0.3060882227
37	0.3055784668
38	0.3051595605
39	0.3046329883
40	0.3041749561
41	0.3037114355
42	0.3032808398
43	0.3028408252
44	0.302424248
45	0.3020001953
46	0.3015827148
47	0.301179834
48	0.3007518262
49	0.3003537109
50	0.2999129541
51	0.2995135205
52	0.2991265527
53	0.298750957
54	0.2983731104
55	0.2980435938
56	0.2976834229
57	0.2972770996
58	0.2969048828
59	0.2965578711
60	0.2961730127
61	0.2957606982
62	0.295413623
63	0.2950818945
64	0.2947399951
65	0.2943628369
66	0.294027793
67	0.2937167676
68	0.2933997949
69	0.2930926465
70	0.2927124463
71	0.2923892822
72	0.2920942969
73	0.2917653516
74	0.2914400635
75	0.2911395361
76	0.2908037158
77	0.2904822412
78	0.2901731201
79	0.289825957
80	0.2895375
81	0.2892354639
82	0.2889129541
83	0.2886248438
84	0.2883386035
85	0.2880281445
86	0.2877065381
87	0.2874339062
88	0.2871496387
89	0.2868606055
90	0.2865669238
91	0.2862984033
92	0.28600479
93	0.285694292
94	0.2854374854
95	0.2851687988
96	0.2849159424
97	0.284647959
98	0.2843137988
99	0.2840412256
100	0.2837529004
101	0.2834775635
102	0.2832109229
103	0.28295
104	0.2826333838
105	0.2823243018
106	0.2820542334
107	0.2817955664
108	0.2815299023
109	0.281280752
110	0.2809956152
111	0.2807395752
112	0.2805036914
113	0.2802638623
114	0.2799927979
115	0.2797545801
116	0.2795133301
117	0.2792342529
118	0.27898896
119	0.2787531934
120	0.2785117969
121	0.2782860498
122	0.2780744336
123	0.2778414258
124	0.2775850049
125	0.2773506738
126	0.2770966846
127	0.27682
128	0.2765448096
129	0.2763171387
130	0.2761126172
131	0.2758970361
132	0.2756647852
133	0.2754149512
134	0.2751988574
135	0.2749956738
136	0.2747841602
137	0.2745215381
138	0.2742793848
139	0.2740561426
140	0.2738569189
141	0.2736248438
142	0.2733773682
143	0.2731932715
144	0.2730066943
145	0.2728021045
146	0.272595293
147	0.2723892285
148	0.2721815332
149	0.2719906348
150	0.2717943896
151	0.2715959473
152	0.2713949805
153	0.2711883887
154	0.2709521777
155	0.2707376465
156	0.2705105322
157	0.2703321143
158	0.2701649023
159	0.2699604688
160	0.2697671631
161	0.2695821973
162	0.2693946777
163	0.269180752
164	0.2689916162
165	0.2687945508
166	0.2686177246
167	0.2683843701
168	0.2681903516
169	0.2679875342
170	0.2677803613
171	0.2675802539
172	0.2673988379
173	0.267202334
174	0.2670177344
175	0.2668411035
176	0.2666386377
177	0.2664575
178	0.2662876514
179	0.2661109473
180	0.2659100928
181	0.2657080371
182	0.2655231641
183	0.2653335645
184	0.2651616455
185	0.2649919629
186	0.2648392236
187	0.2646809912
188	0.2645140039
189	0.2643522021
190	0.2641960596
191	0.26402104
192	0.2638219775
193	0.2636593701
194	0.263477041
195	0.2633163135
196	0.2631537549
197	0.2629753906
198	0.2627882861
199	0.2626481738
200	0.262492793
201	0.2623472119
202	0.2622031543
203	0.262032041
204	0.2618826514
205	0.2617122607
206	0.2615428369
207	0.2613677148
208	0.2611936963
209	0.2610262109
210	0.2608338281
211	0.2606849756
212	0.2605102832
213	0.260344292
214	0.2601964014
215	0.260027085
216	0.2598830029
217	0.2597380664
218	0.2595580518
219	0.259409502
220	0.259263833
221	0.2591241602
222	0.2589821436
223	0.2588239648
224	0.2586721631
225	0.2585245801
226	0.2583843701
227	0.2582414893
228	0.2580893408
229	0.2579535498
230	0.2577991748
231	0.2576260547
232	0.257483501
233	0.257318291
234	0.2571736768
235	0.2570091797
236	0.2568441699
237	0.2567081982
238	0.2565761719
239	0.2564464941
240	0.2563188916
241	0.256172124
242	0.2560099707
243	0.2558717529
244	0.2557272363
245	0.2556011865
246	0.2554564355
247	0.2553388916
248	0.2552099268
249	0.2550719775
250	0.2549362012
251	0.2547981543
252	0.2546426709
253	0.2544851074
254	0.2543590967
255	0.2542428076
256	0.2541049365
257	0.253970376
258	0.2538541406
259	0.2537121094
260	0.2535848242
261	0.2534614063
262	0.2533384131
263	0.2532225439
264	0.2530833984
265	0.2529646484
266	0.2528227539
267	0.2527002588
268	0.2525572217
269	0.2524180957
270	0.2522760254
271	0.2521340625
272	0.2520075049
273	0.2519005664
274	0.2517622363
275	0.2516337061
276	0.2515122461
277	0.2513850049
278	0.2512606445
279	0.2511311475
280	0.2510110205
281	0.2508842676
282	0.2507504053
283	0.2506243506
284	0.2504850928
285	0.250360166
286	0.2502425537
287	0.2501375488
288	0.2500093359
289	0.2498869727
290	0.2497758691
291	0.2496631787
292	0.2495477295
293	0.2494458887
294	0.2493144043
295	0.2492078613
296	0.2490710693
297	0.2489517969
298	0.2488499463
299	0.2487438672
300	0.2486201807
301	0.2485160547
302	0.2483964307
303	0.2482795801
304	0.2481759961
305	0.2480506592
306	0.2479285596
307	0.247805
308	0.2477077295
309	0.2475854834
310	0.2474839453
311	0.2473614062
312	0.2472656299
313	0.2471477783
314	0.2470393457
315	0.2469319238
316	0.2468120215
317	0.2467101514
318	0.2466018213
319	0.2465026758
320	0.2463976074
321	0.2462822168
322	0.2461788623
323	0.2460753223
324	0.2459612305
325	0.2458574414
326	0.2457375391
327	0.2456136475
328	0.2455061914
329	0.2453863965
330	0.2452780518
331	0.2451738965
332	0.2450773926
333	0.2449779736
334	0.2448734082
335	0.2447725195
336	0.244665752
337	0.2445542822
338	0.2444515869
339	0.2443588574
340	0.2442633105
341	0.2441449902
342	0.2440368164
343	0.2439363574
344	0.2438354053
345	0.2437235742
346	0.2436175586
347	0.2435076904
348	0.2434118115
349	0.2433015332
350	0.2431977295
351	0.2431034375
352	0.2430044385
353	0.2429138574
354	0.2428183252
355	0.2427286426
356	0.2426309863
357	0.2425378223
358	0.2424396484
359	0.2423484863
360	0.2422424707
361	0.2421355713
362	0.2420427637
363	0.241928335
364	0.2418349121
365	0.2417501416
366	0.2416482227
367	0.2415577832
368	0.2414520068
369	0.2413406445
370	0.2412326758
371	0.2411377295
372	0.2410396289
373	0.2409518213
374	0.2408547266
375	0.2407691699
376	0.2406757227
377	0.2405882373
378	0.2405143506
379	0.2404300977
380	0.2403412891
381	0.2402640576
382	0.2401769824
383	0.2400818164
384	0.2400015234
385	0.2399115771
386	0.2398198975
387	0.2397276123
388	0.2396489404
389	0.2395516357
390	0.2394662988
391	0.2393791455
392	0.2392822461
393	0.2391851855
