iter	Passed	Remaining
0	254	254157
1	324	161949
2	384	127715
3	438	109310
4	498	99255
5	555	91947
6	625	88717
7	692	85840
8	762	83909
9	823	81488
10	904	81294
11	978	80574
12	1068	81153
13	1132	79766
14	1183	77738
15	1254	77121
16	1326	76700
17	1407	76802
18	1470	75918
19	1528	74872
20	1588	74043
21	1644	73117
22	1700	72249
23	1761	71618
24	1826	71229
25	1894	70982
26	1955	70480
27	2008	69726
28	2062	69062
29	2120	68570
30	2182	68211
31	2239	67754
32	2296	67300
33	2357	66994
34	2425	66883
35	2502	67015
36	2561	66656
37	2613	66165
38	2665	65686
39	2717	65226
40	2773	64881
41	2831	64585
42	2882	64144
43	2933	63746
44	2991	63495
45	3043	63119
46	3095	62759
47	3146	62415
48	3199	62092
49	3257	61894
50	3309	61590
51	3362	61301
52	3412	60977
53	3476	60898
54	3536	60765
55	3600	60695
56	3654	60454
57	3710	60268
58	3762	60004
59	3813	59752
60	3866	59513
61	3918	59282
62	3975	59120
63	4027	58905
64	4081	58709
65	4139	58577
66	4195	58425
67	4247	58211
68	4297	57983
69	4348	57767
70	4413	57751
71	4464	57540
72	4523	57444
73	4591	57453
74	4652	57377
75	4709	57260
76	4767	57144
77	4828	57072
78	4893	57054
79	4978	57257
80	5054	57346
81	5114	57263
82	5181	57244
83	5232	57056
84	5290	56955
85	5343	56785
86	5402	56697
87	5457	56563
88	5528	56585
89	5589	56514
90	5647	56408
91	5713	56386
92	5793	56503
93	5857	56455
94	5908	56290
95	5977	56289
96	6050	56330
97	6125	56376
98	6183	56273
99	6238	56145
100	6300	56080
101	6359	55985
102	6417	55890
103	6471	55757
104	6540	55749
105	6632	55940
106	6690	55835
107	6749	55748
108	6806	55638
109	6863	55528
110	6941	55592
111	7015	55626
112	7075	55539
113	7136	55460
114	7202	55424
115	7259	55324
116	7310	55174
117	7360	55016
118	7411	54868
119	7461	54721
120	7519	54622
121	7587	54602
122	7650	54546
123	7708	54459
124	7765	54355
125	7816	54217
126	7868	54086
127	7923	53977
128	7997	53997
129	8066	53980
130	8127	53915
131	8193	53879
132	8264	53877
133	8322	53787
134	8384	53720
135	8445	53655
136	8516	53649
137	8589	53654
138	8650	53580
139	8707	53487
140	8765	53401
141	8817	53279
142	8869	53152
143	8921	53034
144	8979	52950
145	9032	52835
146	9094	52770
147	9156	52712
148	9224	52684
149	9286	52625
150	9345	52546
151	9407	52483
152	9473	52443
153	9530	52358
154	9609	52385
155	9666	52298
156	9737	52286
157	9788	52166
158	9839	52042
159	9890	51924
160	9940	51800
161	9998	51720
162	10049	51606
163	10105	51512
164	10176	51496
165	10242	51458
166	10292	51338
167	10354	51278
168	10404	51161
169	10459	51065
170	10519	50997
171	10581	50940
172	10637	50853
173	10693	50761
174	10750	50679
175	10801	50568
176	10865	50523
177	10920	50428
178	10969	50312
179	11021	50211
180	11086	50166
181	11157	50149
182	11215	50071
183	11270	49980
184	11320	49870
185	11378	49795
186	11428	49688
187	11481	49591
188	11534	49495
189	11585	49391
190	11650	49347
191	11701	49241
192	11762	49184
193	11813	49079
194	11870	49001
195	11924	48915
196	11976	48818
197	12027	48715
198	12081	48628
199	12136	48544
200	12187	48447
201	12242	48364
202	12293	48266
203	12349	48186
204	12399	48087
205	12465	48047
206	12520	47965
207	12586	47925
208	12636	47823
209	12709	47811
210	12778	47784
211	12829	47685
212	12895	47646
213	12946	47550
214	13001	47470
215	13052	47375
216	13102	47278
217	13154	47186
218	13221	47149
219	13285	47103
220	13335	47007
221	13390	46926
222	13445	46847
223	13504	46783
224	13556	46693
225	13607	46601
226	13661	46521
227	13722	46462
228	13773	46372
