iter	Passed	Remaining
0	19	19857
1	51	25818
2	84	28114
3	96	23983
4	117	23436
5	135	22400
6	163	23163
7	180	22374
8	210	23187
9	243	24119
10	271	24431
11	300	24722
12	328	24933
13	351	24777
14	371	24413
15	392	24129
16	412	23872
17	436	23790
18	458	23662
19	478	23468
20	498	23257
21	519	23115
22	541	23002
23	561	22847
24	581	22687
25	602	22570
26	622	22432
27	647	22460
28	669	22409
29	689	22296
30	709	22180
31	730	22093
32	750	21987
33	770	21894
34	791	21818
35	812	21744
36	832	21674
37	857	21715
38	878	21654
39	900	21604
40	921	21544
41	941	21475
42	966	21515
43	993	21583
44	1019	21634
45	1044	21658
46	1072	21739
47	1095	21733
48	1124	21826
49	1152	21899
50	1177	21909
51	1206	22003
52	1235	22068
53	1262	22124
54	1289	22154
55	1315	22181
56	1339	22159
57	1361	22117
58	1384	22080
59	1408	22062
60	1434	22083
61	1457	22053
62	1478	21988
63	1506	22038
64	1532	22037
65	1553	21986
66	1577	21964
67	1598	21914
68	1620	21868
69	1642	21828
70	1663	21767
71	1685	21729
72	1712	21743
73	1734	21706
74	1756	21664
75	1779	21630
76	1804	21633
77	1829	21630
78	1856	21640
79	1884	21666
80	1910	21673
81	1937	21688
82	1966	21729
83	1988	21688
84	2009	21634
85	2029	21572
86	2050	21520
87	2065	21408
88	2086	21361
89	2107	21311
90	2128	21259
91	2154	21263
92	2179	21256
93	2203	21234
94	2228	21230
95	2251	21206
96	2276	21188
97	2299	21167
98	2325	21165
99	2349	21141
100	2376	21155
101	2402	21154
102	2424	21114
103	2445	21067
104	2466	21025
105	2486	20970
106	2507	20924
107	2527	20879
108	2549	20843
109	2575	20840
110	2602	20842
111	2625	20819
112	2651	20814
113	2675	20796
114	2700	20780
115	2725	20768
116	2750	20759
117	2776	20749
118	2797	20714
119	2818	20672
120	2839	20629
121	2861	20590
122	2882	20550
123	2903	20509
124	2923	20464
125	2944	20425
126	2970	20421
127	3038	20699
128	3071	20737
129	3094	20708
130	3119	20694
131	3143	20667
132	3168	20651
133	3194	20642
134	3217	20617
135	3238	20575
136	3258	20527
137	3279	20485
138	3300	20442
139	3320	20400
140	3341	20358
141	3361	20313
142	3387	20303
143	3413	20291
144	3436	20262
145	3458	20229
146	3479	20189
147	3501	20156
148	3522	20116
149	3543	20078
150	3563	20036
151	3584	19995
152	3604	19955
153	3629	19939
154	3650	19902
155	3671	19864
156	3692	19824
157	3712	19786
158	3734	19751
159	3755	19715
160	3777	19687
161	3799	19652
162	3819	19614
163	3843	19590
164	3866	19568
165	3889	19538
166	3910	19503
167	3929	19461
168	3952	19436
169	3982	19443
170	4006	19423
171	4030	19403
172	4057	19396
173	4083	19385
174	4111	19382
175	4136	19365
176	4158	19338
177	4180	19306
178	4204	19282
179	4225	19249
180	4246	19215
181	4273	19206
182	4293	19169
183	4315	19140
184	4337	19107
185	4357	19070
186	4381	19051
187	4407	19035
188	4428	19001
189	4450	18971
190	4471	18937
191	4495	18917
192	4515	18881
193	4535	18842
194	4555	18806
195	4576	18772
196	4596	18736
197	4618	18705
198	4637	18667
199	4658	18632
200	4678	18598
201	4702	18577
